╔════════════════════════════════════════════════╗
║      Optimal Solver - Starting from Scratch    ║
╚════════════════════════════════════════════════╝

Map: starting_simple.txt
Initial Temperature: 100000.0
Cooling Rate: 0.999995
Max Iterations: 100000000
Budget: $200

Grid: 7x5
Found 17 valid command locations:
  [1,0] building (2 floors)
  [2,0] building (2 floors)
  [3,0] building (2 floors)
  [5,0] P (1 floor)
  [2,1] building (2 floors)
  [3,1] P (1 floor)
  [5,1] building (2 floors)
  [1,2] building (2 floors)
  [3,2] building (2 floors)
  [5,2] building (2 floors)
  [2,3] building (2 floors)
  [3,3] building (2 floors)
  [5,3] P (1 floor)
  [1,4] building (2 floors)
  [3,4] building (2 floors)
  [4,4] building (2 floors)
  [5,4] building (2 floors)

Starting from EMPTY grid: Score=7062
Beginning optimization...

Iter      | Temp     | Current    | Best       | Accept | Cost  | Commands
   280000 |  24659.7 |       3750 |      34500 | 277891 | $ 70 |        5  (1s)
   285000 |  24050.9 |       7062 |      34500 | 282823 | $ 20 |        2  (1s)
   290000 |  23457.1 |      11500 |      34500 | 287762 | $130 |        5  (1s)
   295000 |  22877.9 |       7062 |      34500 | 292695 | $ 20 |        1  (1s)
   300000 |  22313.0 |       9062 |      34500 | 297620 | $100 |        4  (1s)
   305000 |  21762.1 |       7062 |      34500 | 302538 | $ 10 |        1  (1s)
   310000 |  21224.8 |       9062 |      34500 | 307450 | $ 80 |        3  (1s)
   315000 |  20700.8 |       7062 |      34500 | 312379 | $  0 |        0  (1s)
   320000 |  20189.7 |       6250 |      34500 | 317293 | $ 80 |        4  (2s)
   325000 |  19691.2 |       8500 |      34500 | 322198 | $ 50 |        4  (2s)
   329381 |  19264.5 |      34906 |      34906 | 326501 | $200 |       10  ✨ NEW BEST! (2s)
   330000 |  19205.0 |       7062 |      34906 | 327104 | $  0 |        0  (2s)
   335000 |  18730.8 |       7062 |      34906 | 332006 | $ 50 |        2  (2s)
   340000 |  18268.4 |       7062 |      34906 | 336927 | $ 20 |        1  (2s)
   345000 |  17817.3 |       7062 |      34906 | 341841 | $  0 |        0  (2s)
   350000 |  17377.4 |       8562 |      34906 | 346754 | $ 60 |        4  (2s)
   355000 |  16948.4 |      11250 |      34906 | 351637 | $120 |        6  (2s)
   360000 |  16529.9 |      12937 |      34906 | 356542 | $120 |        6  (2s)
   365000 |  16121.8 |       7062 |      34906 | 361460 | $  0 |        0  (2s)
   370000 |  15723.7 |       7062 |      34906 | 366350 | $ 10 |        1  (2s)
   375000 |  15335.5 |      10125 |      34906 | 371224 | $ 80 |        6  (2s)
   380000 |  14956.9 |       6750 |      34906 | 376113 | $120 |        8  (2s)
   385000 |  14587.6 |       6812 |      34906 | 381021 | $ 40 |        3  (2s)
   390000 |  14227.4 |       8062 |      34906 | 385895 | $ 40 |        2  (2s)
   395000 |  13876.1 |      14781 |      34906 | 390781 | $150 |        9  (2s)
   400000 |  13533.5 |      10000 |      34906 | 395667 | $ 60 |        5  (2s)
   405000 |  13199.4 |       8062 |      34906 | 400548 | $ 90 |        3  (2s)
   410000 |  12873.5 |       8062 |      34906 | 405400 | $100 |        6  (2s)
   415000 |  12555.6 |      12750 |      34906 | 410263 | $120 |        6  (2s)
   420000 |  12245.6 |       8062 |      34906 | 415103 | $ 70 |        3  (2s)
   425000 |  11943.3 |      13062 |      34906 | 419931 | $160 |       11  (2s)
   430000 |  11648.4 |      10250 |      34906 | 424788 | $ 60 |        3  (2s)
   435000 |  11360.8 |       7062 |      34906 | 429679 | $ 20 |        2  (2s)
