╔════════════════════════════════════════════════╗
║      Optimal Solver - Starting from Scratch    ║
╚════════════════════════════════════════════════╝

Map: starting_simple.txt
Initial Temperature: 100000.0
Cooling Rate: 0.999995
Max Iterations: 100000000
Budget: $200

Grid: 7x5
Found 17 valid command locations:
  [1,0] building (2 floors)
  [2,0] building (2 floors)
  [3,0] building (2 floors)
  [5,0] P (1 floor)
  [2,1] building (2 floors)
  [3,1] P (1 floor)
  [5,1] building (2 floors)
  [1,2] building (2 floors)
  [3,2] building (2 floors)
  [5,2] building (2 floors)
  [2,3] building (2 floors)
  [3,3] building (2 floors)
  [5,3] P (1 floor)
  [1,4] building (2 floors)
  [3,4] building (2 floors)
  [4,4] building (2 floors)
  [5,4] building (2 floors)

Starting from EMPTY grid: Score=7062
Beginning optimization...

Iter      | Temp     | Current    | Best       | Accept | Cost  | Commands
   255000 |  27943.1 |       8062 |      33250 | 253302 | $ 30 |        1  (1s)
   260000 |  27253.2 |       7312 |      33250 | 258251 | $ 40 |        2  (1s)
   265000 |  26580.3 |       5500 |      33250 | 263184 | $ 80 |        6  (1s)
   270000 |  25924.1 |      10000 |      33250 | 268100 | $ 80 |        4  (1s)
   275000 |  25284.0 |       9062 |      33250 | 273039 | $ 80 |        6  (1s)
   280000 |  24659.7 |       7687 |      33250 | 277986 | $200 |       10  (1s)
   285000 |  24050.9 |       7062 |      33250 | 282911 | $  0 |        0  (1s)
   290000 |  23457.1 |       9750 |      33250 | 287829 | $ 80 |        5  (1s)
   295000 |  22877.9 |       9000 |      33250 | 292761 | $130 |        7  (1s)
   300000 |  22313.0 |       8750 |      33250 | 297677 | $100 |        8  (1s)
   305000 |  21762.1 |       7062 |      33250 | 302587 | $ 10 |        1  (1s)
   310000 |  21224.8 |       5625 |      33250 | 307519 | $130 |        7  (1s)
   315000 |  20700.8 |       7062 |      33250 | 312448 | $  0 |        0  (1s)
   315304 |  20669.3 |      37250 |      37250 | 312739 | $ 90 |        5  ✨ NEW BEST! (1s)
   320000 |  20189.7 |      10062 |      37250 | 317350 | $150 |        7  (1s)
   325000 |  19691.2 |       8062 |      37250 | 322265 | $ 30 |        1  (1s)
   330000 |  19205.0 |       6000 |      37250 | 327164 | $150 |        7  (1s)
   335000 |  18730.8 |       7062 |      37250 | 332091 | $  0 |        0  (2s)
   340000 |  18268.4 |       7062 |      37250 | 337006 | $  0 |        0  (2s)
   345000 |  17817.3 |      11000 |      37250 | 341907 | $110 |        6  (2s)
   350000 |  17377.4 |       7812 |      37250 | 346791 | $ 60 |        3  (2s)
   355000 |  16948.4 |      13750 |      37250 | 351693 | $190 |        9  (2s)
   360000 |  16529.9 |      10062 |      37250 | 356558 | $ 90 |        5  (2s)
   365000 |  16121.8 |       6937 |      37250 | 361452 | $ 70 |        4  (2s)
   370000 |  15723.7 |       7062 |      37250 | 366338 | $  0 |        0  (2s)
   375000 |  15335.5 |       7062 |      37250 | 371232 | $ 40 |        2  (2s)
   380000 |  14956.9 |       7562 |      37250 | 376117 | $ 60 |        3  (2s)
   385000 |  14587.6 |       7000 |      37250 | 380998 | $120 |        9  (2s)
   390000 |  14227.4 |       9125 |      37250 | 385872 | $140 |       10  (2s)
   395000 |  13876.1 |       9250 |      37250 | 390732 | $100 |        7  (2s)
   400000 |  13533.5 |       7062 |      37250 | 395618 | $  0 |        0  (2s)
   405000 |  13199.4 |       9500 |      37250 | 400516 | $ 60 |        3  (2s)
   410000 |  12873.5 |      10312 |      37250 | 405376 | $130 |        8  (2s)
   415000 |  12555.6 |       9562 |      37250 | 410235 | $ 10 |        1  (2s)
   420000 |  12245.6 |       8875 |      37250 | 415093 | $140 |        6  (2s)
   425000 |  11943.3 |       6250 |      37250 | 419951 | $ 10 |        1  (2s)
   430000 |  11648.4 |       7062 |      37250 | 424827 | $ 70 |        4  (2s)
   435000 |  11360.8 |       7062 |      37250 | 429680 | $ 30 |        1  (2s)
   440000 |  11080.3 |       7250 |      37250 | 434528 | $100 |        5  (2s)
   445000 |  10806.7 |       8625 |      37250 | 439356 | $ 90 |        5  (2s)
   450000 |  10539.9 |       8062 |      37250 | 444198 | $120 |        7  (2s)
   455000 |  10279.7 |       5250 |      37250 | 449014 | $190 |       10  (2s)
   460000 |  10025.9 |      11000 |      37250 | 453861 | $ 80 |        5  (2s)
   465000 |   9778.3 |       7062 |      37250 | 458660 | $ 30 |        1  (2s)
   470000 |   9536.9 |       7062 |      37250 | 463478 | $ 10 |        1  (2s)
   475000 |   9301.4 |      10562 |      37250 | 468312 | $ 70 |        3  (2s)
   480000 |   9071.8 |       8156 |      37250 | 473127 | $ 80 |        4  (2s)
   485000 |   8847.8 |       7062 |      37250 | 477939 | $  0 |        0  (2s)
   490000 |   8629.3 |      10250 |      37250 | 482737 | $160 |       10  (2s)
   495000 |   8416.3 |      10687 |      37250 | 487540 | $160 |       10  (2s)
   500000 |   8208.5 |       9500 |      37250 | 492288 | $150 |        9  (2s)
   505000 |   8005.8 |       9750 |      37250 | 497043 | $170 |        9  (2s)
   510000 |   7808.2 |       7062 |      37250 | 501830 | $ 80 |        6  (2s)
   515000 |   7615.4 |       7062 |      37250 | 506607 | $ 20 |        2  (2s)
   520000 |   7427.3 |       8500 |      37250 | 511355 | $140 |        9  (2s)
   525000 |   7244.0 |       5062 |      37250 | 516098 | $110 |        6  (3s)
   530000 |   7065.1 |       7062 |      37250 | 520832 | $ 10 |        1  (3s)
   535000 |   6890.7 |       7062 |      37250 | 525588 | $ 30 |        1  (3s)
   540000 |   6720.5 |      10000 |      37250 | 530317 | $190 |       10  (3s)
