╔════════════════════════════════════════════════╗
║      Optimal Solver - Starting from Scratch    ║
╚════════════════════════════════════════════════╝

Map: starting_simple.txt
Initial Temperature: 100000.0
Cooling Rate: 0.99999
Max Iterations: 20000000
Budget: $200

Grid: 7x5
Found 17 valid command locations:
  [1,0] building (2 floors)
  [2,0] building (2 floors)
  [3,0] building (2 floors)
  [5,0] P (1 floor)
  [2,1] building (2 floors)
  [3,1] P (1 floor)
  [5,1] building (2 floors)
  [1,2] building (2 floors)
  [3,2] building (2 floors)
  [5,2] building (2 floors)
  [2,3] building (2 floors)
  [3,3] building (2 floors)
  [5,3] P (1 floor)
  [1,4] building (2 floors)
  [3,4] building (2 floors)
  [4,4] building (2 floors)
  [5,4] building (2 floors)

Starting from EMPTY grid: Score=7062
Beginning optimization...

Iter      | Temp     | Current    | Best       | Accept | Cost  | Commands
   250000 |   8208.5 |       8062 |      33687 | 246143 | $ 60 |        3  (1s)
   255000 |   7808.1 |       8062 |      33687 | 250957 | $ 60 |        3  (1s)
   260000 |   7427.3 |      10500 |      33687 | 255691 | $100 |        8  (1s)
   265000 |   7065.1 |       8062 |      33687 | 260443 | $ 70 |        3  (1s)
   270000 |   6720.5 |      12750 |      33687 | 265215 | $ 90 |        7  (1s)
   275000 |   6392.8 |       5312 |      33687 | 269951 | $ 20 |        2  (2s)
   280000 |   6081.0 |       7062 |      33687 | 274630 | $ 30 |        1  (2s)
   285000 |   5784.4 |       8062 |      33687 | 279371 | $ 70 |        3  (2s)
   290000 |   5502.3 |       5062 |      33687 | 284079 | $ 50 |        4  (2s)
   295000 |   5233.9 |      12000 |      33687 | 288733 | $ 50 |        5  (2s)
   300000 |   4978.7 |       8562 |      33687 | 293302 | $100 |        4  (2s)
   305000 |   4735.9 |       7062 |      33687 | 297923 | $ 30 |        1  (2s)
   310000 |   4504.9 |      14500 |      33687 | 302594 | $100 |        6  (2s)
   315000 |   4285.2 |       8062 |      33687 | 307116 | $ 50 |        3  (2s)
   320000 |   4076.2 |       7062 |      33687 | 311677 | $ 20 |        2  (2s)
   325000 |   3877.4 |       7312 |      33687 | 316228 | $ 30 |        2  (2s)
   330000 |   3688.3 |       7062 |      33687 | 320739 | $ 30 |        3  (2s)
   335000 |   3508.4 |      13750 |      33687 | 325176 | $100 |        5  (2s)
   340000 |   3337.3 |       6562 |      33687 | 329573 | $ 30 |        3  (2s)
   341035 |   3302.9 |      35375 |      35375 | 330458 | $120 |        8  ✨ NEW BEST! (2s)
   341045 |   3302.6 |      37375 |      37375 | 330463 | $190 |       12  ✨ NEW BEST! (2s)
   341137 |   3299.6 |      38125 |      38125 | 330523 | $200 |       12  ✨ NEW BEST! (2s)
   341152 |   3299.1 |      38375 |      38375 | 330534 | $190 |       11  ✨ NEW BEST! (2s)
   341164 |   3298.7 |      45375 |      45375 | 330541 | $170 |        9  ✨ NEW BEST! (2s)
   345000 |   3174.5 |      11812 |      45375 | 333775 | $ 80 |        6  (2s)
   350000 |   3019.7 |       8750 |      45375 | 338058 | $ 40 |        3  (2s)
   355000 |   2872.4 |      12250 |      45375 | 342412 | $140 |        8  (2s)
   360000 |   2732.4 |      13562 |      45375 | 346666 | $ 80 |        5  (2s)
   365000 |   2599.1 |      11750 |      45375 | 350878 | $120 |        6  (2s)
   368327 |   2514.0 |      47500 |      47500 | 353318 | $200 |       11  ✨ NEW BEST! (2s)
   368459 |   2510.7 |      50500 |      50500 | 353389 | $200 |       10  ✨ NEW BEST! (2s)
   368503 |   2509.6 |      50625 |      50625 | 353412 | $200 |        9  ✨ NEW BEST! (2s)
   370000 |   2472.3 |      33250 |      50625 | 354309 | $150 |        9  (2s)
   370543 |   2458.9 |      51250 |      51250 | 354619 | $180 |        8  ✨ NEW BEST! (2s)
   373852 |   2378.9 |      51531 |      51531 | 356448 | $200 |       10  ✨ NEW BEST! (2s)
   375000 |   2351.8 |      32906 |      51531 | 357053 | $180 |       10  (2s)
   380000 |   2237.1 |      14562 |      51531 | 360943 | $130 |        6  (2s)
   385000 |   2128.0 |      36500 |      51531 | 364103 | $190 |        9  (2s)
